b total,player total,pcard1,pcard2,pcard3,bcard1,bcard2,bcard3,outcome,rounds,banker streak,player streak,tie streak,shoe number
7,5,0,3,2,8,9,,banker win,63,2,0,0,68
7,7,0,0,7,6,0,1,tie,64,2,0,1,68
6,6,0,0,6,0,2,0,tie,65,2,0,2,68
6,3,0,3,0,9,7,0,banker win,66,3,0,0,68
9,5,0,0,5,5,6,8,banker win,67,4,0,0,68
5,9,6,7,6,0,5,8,player win,68,0,1,0,68
4,3,3,1,9,4,0,8,banker win,69,1,0,0,68
1,9,0,9,,7,4,8,player win,70,0,1,0,68
7,5,3,9,3,5,2,,banker win,71,1,0,0,68
4,9,1,8,,4,0,,player win,72,0,1,0,68
0,4,0,3,1,0,0,0,player win,73,0,2,0,68
7,0,1,1,8,0,7,,banker win,74,1,0,0,68
9,6,5,1,,0,0,9,banker win,75,2,0,0,68
8,7,0,7,,1,1,6,banker win,76,3,0,0,68
8,5,5,0,,4,4,,banker win,77,4,0,0,68
6,0,1,9,0,0,2,4,banker win,78,5,0,0,68
0,6,0,0,6,0,0,6,player win,79,0,1,0,68
8,5,0,4,1,7,5,6,banker win,80,1,0,0,68
5,6,6,0,,2,3,,player win,1,0,1,0,69
5,2,0,0,2,0,5,,banker win,2,1,0,0,69
4,2,5,7,0,9,2,3,banker win,3,2,0,0,69
5,9,8,1,,7,8,3,player win,4,0,1,0,69
4,6,0,6,,4,0,3,player win,5,0,2,0,69
7,3,3,0,0,9,1,7,banker win,6,1,0,0,69
6,2,2,0,0,8,5,3,banker win,7,2,0,0,69
7,4,8,6,0,3,4,,banker win,8,3,0,0,69
6,8,0,8,,5,1,,player win,9,0,1,0,69
3,9,4,0,5,7,6,,player win,10,0,2,0,69
2,9,0,0,9,0,2,,player win,11,0,3,0,69
6,7,0,4,3,5,1,,player win,12,0,4,0,69
5,0,0,0,0,8,7,,banker win,13,1,0,0,69
6,5,4,0,1,0,6,,banker win,14,2,0,0,69
4,4,2,2,0,0,4,,tie,15,2,0,1,69
6,0,0,0,0,6,0,,banker win,16,3,0,0,69
5,7,0,7,,2,3,,player win,17,0,1,0,69
4,7,7,0,,4,0,,player win,18,0,2,0,69
5,8,8,0,,0,5,,player win,19,0,3,0,69
7,2,0,5,7,7,0,,banker win,20,1,0,0,69
7,8,8,0,,3,4,,player win,21,0,1,0,69
7,1,6,5,0,5,2,,banker win,22,1,0,0,69
9,2,2,0,0,6,7,6,banker win,23,2,0,0,69
7,6,4,0,2,9,8,,banker win,24,3,0,0,69
8,9,9,0,,2,6,,player win,25,0,1,0,69
1,9,5,4,,1,0,,player win,26,0,2,0,69
9,8,4,4,,4,5,,banker win,27,1,0,0,69
3,8,8,0,,6,7,,player win,28,0,1,0,69
4,8,0,8,,4,0,,player win,29,0,2,0,69
5,7,5,2,,0,5,,player win,30,0,3,0,69
2,5,8,2,5,0,1,1,player win,31,0,4,0,69
1,8,8,0,,0,1,1,player win,32,0,5,0,69
7,7,0,7,,0,7,,tie,33,0,5,1,69
7,2,0,0,2,0,0,7,banker win,34,1,0,0,69
7,9,4,0,5,3,4,,player win,35,0,1,0,69
9,1,0,1,5,9,0,,banker win,36,1,0,0,69
9,6,3,9,4,0,2,5,banker win,37,2,0,0,69
4,1,6,7,8,1,3,5,banker win,38,3,0,0,69
1,9,9,2,8,0,1,5,player win,39,0,1,0,69
9,8,1,7,,1,8,,banker win,40,1,0,0,69
5,6,3,3,,5,0,,player win,41,0,1,0,69
6,9,9,0,,6,0,,player win,42,0,2,0,69
2,7,3,7,7,0,2,0,player win,43,0,3,0,69
7,8,9,9,,3,4,,player win,44,0,4,0,69
6,6,6,0,,5,1,,tie,45,0,4,1,69
6,8,4,4,,6,0,,player win,46,0,5,0,69
0,0,8,2,0,8,5,7,tie,47,0,5,1,69
2,0,9,4,7,6,7,9,banker win,48,1,0,0,69
5,4,0,1,3,3,2,9,banker win,49,2,0,0,69
6,4,1,3,0,0,0,6,banker win,50,3,0,0,69
2,8,9,6,3,5,7,6,player win,51,0,1,0,69
6,2,1,2,9,9,7,6,banker win,52,1,0,0,69
7,6,0,6,,0,7,,banker win,53,2,0,0,69
6,9,8,2,9,3,3,,player win,54,0,1,0,69
2,6,8,4,4,9,3,0,player win,55,0,2,0,69
1,3,0,5,8,0,1,0,player win,56,0,3,0,69
2,6,0,6,,0,0,9,player win,57,0,4,0,69
9,2,7,5,0,0,0,9,banker win,58,1,0,0,69
9,6,2,4,,9,0,,banker win,59,2,0,0,69
9,9,6,3,,3,6,,tie,60,2,0,1,69
8,3,3,0,,0,8,,banker win,61,3,0,0,69
9,0,8,2,,4,5,,banker win,62,4,0,0,69
9,7,6,1,,9,0,,banker win,63,5,0,0,69
5,9,0,0,9,5,0,,player win,64,0,1,0,69
3,6,2,4,,0,3,0,player win,65,0,2,0,69
8,1,5,6,,1,7,,banker win,66,1,0,0,69
6,7,8,9,,1,9,6,player win,67,0,1,0,69
4,4,5,9,0,0,4,6,tie,68,0,1,1,69
7,3,0,0,3,6,1,,banker win,69,1,0,0,69
9,7,7,0,,8,2,9,banker win,70,2,0,0,69
7,0,6,6,8,7,0,,banker win,71,3,0,0,69
0,1,1,0,0,0,0,0,player win,72,0,1,0,69
6,9,1,8,,5,1,0,player win,73,0,2,0,69
9,0,0,0,,1,8,,banker win,74,1,0,0,69
7,0,9,5,6,6,7,4,banker win,75,2,0,0,69
8,2,0,2,6,8,0,,banker win,76,3,0,0,69
8,3,0,3,6,6,2,,banker win,77,4,0,0,69
7,2,5,8,9,7,0,,banker win,78,5,0,0,69
7,9,0,1,8,0,7,,player win,79,0,1,0,69
5,1,0,1,0,0,5,,banker win,80,1,0,0,69
7,1,4,0,7,5,0,2,banker win,81,2,0,0,69
9,7,8,9,,9,0,,banker win,82,3,0,0,69
2,2,0,1,1,0,2,0,tie,1,0,0,1,70
4,7,7,0,,8,6,0,player win,2,0,1,0,70
6,7,0,5,2,0,0,6,player win,3,0,2,0,70
1,7,2,0,5,0,0,8,player win,4,0,3,0,70
2,9,4,5,,0,2,8,player win,5,0,4,0,70
1,6,2,4,,2,9,0,player win,6,0,5,0,70
6,9,5,4,,0,6,0,player win,7,0,6,0,70
2,8,0,8,,6,6,0,player win,8,0,7,0,70
4,7,0,0,7,0,1,0,player win,9,0,8,0,70
2,8,0,0,8,1,1,0,player win,10,0,9,0,70
6,9,6,3,,7,9,0,player win,11,0,10,0,70
8,3,5,8,,5,3,,banker win,12,1,0,0,70
9,5,9,5,1,5,7,7,banker win,13,2,0,0,70
9,6,6,0,,7,3,9,banker win,14,3,0,0,70
4,8,6,2,,9,5,9,player win,15,0,1,0,70
8,2,2,0,,4,4,,banker win,16,1,0,0,70
8,0,0,0,,4,4,,banker win,17,2,0,0,70
5,8,1,7,,8,7,,player win,18,0,1,0,70
0,9,1,8,,0,0,,player win,19,0,2,0,70
8,9,1,8,,8,0,,player win,20,0,3,0,70
9,2,5,7,,9,0,,banker win,21,1,0,0,70
9,1,0,2,9,1,0,8,banker win,22,2,0,0,70
8,3,7,6,9,6,2,,banker win,23,3,0,0,70
2,7,7,0,,4,9,9,player win,24,0,1,0,70
9,9,9,0,,0,9,,tie,25,0,1,1,70
5,4,0,4,0,6,9,,banker win,26,1,0,0,70
7,4,4,0,0,0,7,,banker win,27,2,0,0,70
3,9,9,0,,3,0,,player win,28,0,1,0,70
6,8,3,2,3,6,0,,player win,29,0,2,0,70
9,5,4,1,3,9,0,,banker win,30,1,0,0,70
9,8,8,0,,8,1,,banker win,31,2,0,0,70
0,1,0,1,0,6,4,0,player win,32,0,1,0,70
4,4,4,0,0,1,3,0,tie,33,0,1,1,70
7,7,7,0,,9,8,,tie,34,0,1,2,70
8,6,2,4,,6,2,,banker win,35,1,0,0,70
7,4,0,4,0,0,7,,banker win,36,2,0,0,70
5,8,8,0,,7,8,,player win,37,0,1,0,70
0,6,9,5,2,3,0,7,player win,38,0,2,0,70
7,2,3,2,7,5,6,1,banker win,39,1,0,0,70
6,8,8,0,,0,6,1,player win,40,0,1,0,70
5,7,7,0,,5,0,1,player win,41,0,2,0,70
3,8,0,8,,1,2,1,player win,42,0,3,0,70
9,0,0,0,,0,9,,banker win,43,1,0,0,70
0,8,2,6,,7,3,,player win,44,0,1,0,70
8,0,2,8,,0,8,,banker win,45,1,0,0,70
2,8,9,4,5,3,9,,player win,46,0,1,0,70
4,4,2,2,0,0,0,4,tie,47,0,1,1,70
5,2,7,5,0,5,0,4,banker win,48,1,0,0,70
0,1,3,8,0,5,5,0,player win,49,0,1,0,70
1,0,0,0,0,0,0,1,banker win,50,1,0,0,70
7,7,7,0,,5,2,,tie,51,1,0,1,70
2,6,0,0,6,3,0,8,player win,52,0,1,0,70
2,8,7,6,5,4,8,8,player win,53,0,2,0,70
5,8,7,1,,0,5,8,player win,54,0,3,0,70
1,2,2,3,7,0,4,7,player win,55,0,4,0,70
4,8,0,0,8,4,0,7,player win,56,0,5,0,70
1,8,9,2,7,0,1,7,player win,57,0,6,0,70
2,8,9,9,,6,6,7,player win,58,0,7,0,70
6,6,1,2,3,4,9,3,tie,59,0,7,1,70
6,6,0,6,,1,0,5,tie,60,0,7,2,70
8,6,4,0,2,3,0,5,banker win,61,1,0,0,70
9,9,0,9,,0,9,,tie,62,1,0,1,70
4,7,3,0,4,1,1,9,player win,63,0,1,0,70
5,0,6,4,0,4,1,9,banker win,64,1,0,0,70
9,6,0,1,5,0,0,9,banker win,65,2,0,0,70
7,1,0,4,7,7,0,,banker win,66,3,0,0,70
4,7,0,7,,4,0,,player win,67,0,1,0,70
6,2,7,6,9,8,8,,banker win,68,1,0,0,70
8,6,3,3,,8,0,,banker win,69,2,0,0,70
5,4,5,8,1,5,0,,banker win,70,3,0,0,70
8,7,0,7,,4,4,,banker win,71,4,0,0,70
4,0,0,0,0,8,6,,banker win,72,5,0,0,70
4,0,5,5,0,0,0,4,banker win,73,6,0,0,70
7,7,3,8,6,4,3,,tie,74,6,0,1,70
9,1,1,0,6,9,0,,banker win,75,7,0,0,70
5,1,0,1,0,5,8,2,banker win,76,8,0,0,70
7,2,1,9,2,0,2,5,banker win,77,9,0,0,70
7,5,0,0,5,6,1,,banker win,78,10,0,0,70
7,5,0,3,2,3,8,6,banker win,79,11,0,0,70
6,0,2,3,5,0,6,6,banker win,80,12,0,0,70
5,3,0,3,0,4,8,3,banker win,81,13,0,0,70
7,9,5,7,7,7,0,,player win,1,0,1,0,71
4,8,9,9,,7,7,,player win,2,0,2,0,71
4,6,4,0,2,4,0,0,player win,3,0,3,0,71
6,7,0,7,,4,2,0,player win,4,0,4,0,71
8,8,6,2,,9,9,,tie,5,0,4,1,71
4,7,8,9,,2,2,,player win,6,0,5,0,71
1,8,8,0,,1,0,,player win,7,0,6,0,71
0,9,3,0,6,0,0,,player win,8,0,7,0,71
0,8,0,8,,0,0,,player win,9,0,8,0,71
6,3,3,0,0,7,9,,banker win,10,1,0,0,71
8,0,2,8,0,8,0,,banker win,11,2,0,0,71
6,3,4,0,9,3,3,,banker win,12,3,0,0,71
4,0,8,6,6,7,7,0,banker win,13,4,0,0,71
4,4,2,1,1,0,0,4,tie,14,4,0,1,71
8,8,5,3,,5,3,,tie,15,4,0,2,71
9,0,3,0,7,6,7,5,banker win,16,5,0,0,71
5,9,5,4,,5,0,5,player win,17,0,1,0,71
5,0,1,9,0,0,3,2,banker win,18,1,0,0,71
6,1,0,0,1,2,4,2,banker win,19,2,0,0,71
5,3,8,6,9,5,0,2,banker win,20,3,0,0,71
7,2,0,0,2,4,0,3,banker win,21,4,0,0,71
6,7,2,2,3,7,3,6,player win,22,0,1,0,71
8,9,0,9,,8,0,,player win,23,0,2,0,71
8,6,0,6,,0,8,,banker win,24,1,0,0,71
0,8,7,1,,7,3,,player win,25,0,1,0,71
5,6,0,6,,0,0,5,player win,26,0,2,0,71
8,3,7,6,,0,8,,banker win,27,1,0,0,71
6,1,0,1,0,8,8,,banker win,28,2,0,0,71
6,6,0,6,,0,6,,tie,29,2,0,1,71
9,7,3,4,,9,0,,banker win,30,3,0,0,71
7,3,3,0,0,8,9,,banker win,31,4,0,0,71
5,9,4,0,5,0,5,,player win,32,0,1,0,71
6,7,0,3,4,0,1,5,player win,33,0,2,0,71
2,8,1,2,5,9,3,5,player win,34,0,3,0,71
8,0,6,4,5,6,2,,banker win,35,1,0,0,71
0,3,1,3,9,6,4,0,player win,36,0,1,0,71
4,4,0,5,9,9,3,2,tie,37,0,1,1,71
7,7,6,6,5,9,8,,tie,38,0,1,2,71
7,9,0,9,,5,2,,player win,39,0,2,0,71
1,3,0,5,8,0,0,1,player win,40,0,3,0,71
6,9,9,0,,7,9,1,player win,41,0,4,0,71
7,7,8,6,3,8,9,,tie,42,0,4,1,71
5,7,8,7,2,2,0,3,player win,43,0,5,0,71
5,6,0,6,,0,1,4,player win,44,0,6,0,71
5,4,4,0,0,0,5,4,banker win,45,1,0,0,71
6,0,4,7,9,6,0,4,banker win,46,2,0,0,71
4,7,1,6,,0,4,4,player win,47,0,1,0,71
1,7,5,0,2,2,0,8,player win,48,0,2,0,71
8,9,9,0,,0,8,,player win,49,0,3,0,71
0,9,2,7,,9,1,,player win,50,0,4,0,71
3,2,5,7,0,4,8,0,banker win,51,1,0,0,71
7,6,2,4,,7,0,,banker win,52,2,0,0,71
0,2,3,2,7,0,0,0,player win,53,0,1,0,71
6,2,0,0,2,9,7,0,banker win,54,1,0,0,71
7,6,1,5,,7,0,,banker win,55,2,0,0,71
2,1,1,4,6,5,0,7,banker win,56,3,0,0,71
9,2,5,7,6,0,9,,banker win,57,4,0,0,71
1,2,0,2,0,6,5,8,player win,58,0,1,0,71
5,0,6,4,0,9,1,5,banker win,59,1,0,0,71
7,3,0,0,3,7,0,,banker win,60,2,0,0,71
5,7,6,1,,0,5,,player win,61,0,1,0,71
8,9,9,0,,1,7,,player win,62,0,2,0,71
1,4,0,4,0,1,0,0,player win,63,0,3,0,71
8,3,0,3,0,0,8,,banker win,64,1,0,0,71
0,3,2,9,2,6,4,0,player win,65,0,1,0,71
6,8,0,4,4,2,4,0,player win,66,0,2,0,71
2,1,0,5,6,2,0,0,banker win,67,1,0,0,71
4,1,0,0,1,4,0,0,banker win,68,2,0,0,71
0,8,8,0,,0,0,0,player win,69,0,1,0,71
1,8,3,5,,1,0,0,player win,70,0,2,0,71
8,1,0,1,,8,0,,banker win,71,1,0,0,71
3,8,8,0,,0,3,,player win,72,0,1,0,71
8,6,9,7,,8,0,,banker win,73,1,0,0,71
9,9,5,4,,3,6,,tie,74,1,0,1,71
7,7,0,0,7,8,4,5,tie,75,1,0,2,71
4,9,0,1,8,0,4,5,player win,76,0,1,0,71
1,5,8,3,4,0,5,6,player win,77,0,2,0,71
4,2,0,2,0,1,3,6,banker win,78,1,0,0,71
7,6,6,7,3,0,7,,banker win,79,2,0,0,71
1,9,5,4,,1,0,,player win,80,0,1,0,71
1,5,2,3,0,8,3,0,player win,1,0,1,0,72
7,7,4,0,3,7,0,,tie,2,0,1,1,72
6,2,7,5,0,8,8,,banker win,3,1,0,0,72
4,7,0,7,,4,0,,player win,4,0,1,0,72
9,7,1,2,4,0,1,5,banker win,5,1,0,0,72
4,8,4,1,3,5,9,5,player win,6,0,1,0,72
5,3,0,4,9,4,8,3,banker win,7,1,0,0,72
9,1,0,5,6,0,1,3,banker win,8,2,0,0,72
2,5,0,0,5,0,5,7,player win,9,0,1,0,72
7,1,0,1,0,3,8,6,banker win,10,1,0,0,72
7,6,2,4,,1,6,,banker win,11,2,0,0,72
1,8,0,0,8,0,1,,player win,12,0,1,0,72
7,2,0,2,0,0,7,,banker win,13,1,0,0,72
4,6,5,0,1,2,2,,player win,14,0,1,0,72
5,7,0,7,,5,0,,player win,15,0,2,0,72
1,0,0,4,6,5,0,6,banker win,16,1,0,0,72
5,6,4,2,,6,9,6,player win,17,0,1,0,72
5,2,0,1,1,2,3,6,banker win,18,1,0,0,72
0,1,0,0,1,0,0,0,player win,19,0,1,0,72
9,4,4,0,1,9,0,,banker win,20,1,0,0,72
4,4,5,9,0,9,5,,tie,21,1,0,1,72
4,9,0,3,6,4,0,,player win,22,0,1,0,72
0,9,9,2,8,4,6,,player win,23,0,2,0,72
1,9,9,0,,2,9,,player win,24,0,3,0,72
9,9,2,7,,7,2,,tie,25,0,3,1,72
1,7,7,0,,0,0,1,player win,26,0,4,0,72
3,7,2,0,5,0,0,0,player win,27,0,5,0,72
5,9,6,3,,2,3,0,player win,28,0,6,0,72
3,6,9,7,,7,6,0,player win,29,0,7,0,72
9,4,0,4,,0,9,,banker win,30,1,0,0,72
6,7,1,6,,7,9,,player win,31,0,1,0,72
2,9,0,0,9,3,9,,player win,32,0,2,0,72
5,5,3,0,2,0,4,1,tie,33,0,2,1,72
6,8,8,0,,0,6,1,player win,34,0,3,0,72
4,2,6,7,9,2,2,1,banker win,35,1,0,0,72
8,1,5,0,6,0,6,2,banker win,36,2,0,0,72
6,4,5,9,0,6,5,5,banker win,37,3,0,0,72
4,5,0,2,3,4,0,0,player win,38,0,1,0,72
5,9,9,0,,8,7,0,player win,39,0,2,0,72
9,3,3,0,,6,3,,banker win,40,1,0,0,72
0,7,7,0,,0,0,0,player win,41,0,1,0,72
1,7,0,0,7,8,8,5,player win,42,0,2,0,72
2,9,3,6,,2,0,5,player win,43,0,3,0,72
4,7,8,9,,8,6,5,player win,44,0,4,0,72
3,7,7,0,,7,6,0,player win,45,0,5,0,72
3,2,3,0,9,7,5,0,banker win,46,1,0,0,72
9,2,4,9,9,0,2,7,banker win,47,2,0,0,72
1,9,9,0,,0,1,7,player win,48,0,1,0,72
0,0,0,1,9,3,7,0,tie,49,0,1,1,72
7,4,5,0,9,1,6,,banker win,50,1,0,0,72
7,9,0,9,,0,7,,player win,51,0,1,0,72
3,6,4,2,,0,0,0,player win,52,0,2,0,72
0,9,2,1,6,2,8,0,player win,53,0,3,0,72
8,2,2,0,0,0,0,8,banker win,54,1,0,0,72
9,6,0,6,,7,4,8,banker win,55,2,0,0,72
9,5,7,8,,0,9,,banker win,56,3,0,0,72
9,0,9,5,6,0,5,4,banker win,57,4,0,0,72
4,6,5,1,,0,4,4,player win,58,0,1,0,72
0,8,0,8,,0,0,4,player win,59,0,2,0,72
1,6,0,6,,1,0,0,player win,60,0,3,0,72
7,2,1,0,1,0,0,7,banker win,61,1,0,0,72
2,8,8,0,,8,4,7,player win,62,0,1,0,72
2,6,1,0,5,6,6,0,player win,63,0,2,0,72
3,9,5,5,9,0,3,0,player win,64,0,3,0,72
9,0,0,0,9,1,8,,banker win,65,1,0,0,72
1,9,3,8,8,4,7,,player win,66,0,1,0,72
4,8,8,0,,8,6,,player win,67,0,2,0,72
3,2,2,3,7,4,9,0,banker win,68,1,0,0,72
6,5,0,2,3,6,0,0,banker win,69,2,0,0,72
6,4,0,4,0,6,0,0,banker win,70,3,0,0,72
5,1,5,8,8,1,0,4,banker win,71,4,0,0,72
6,5,4,1,0,0,6,4,banker win,72,5,0,0,72
9,0,7,3,0,3,7,9,banker win,73,6,0,0,72
3,8,4,4,,8,5,9,player win,74,0,1,0,72
6,5,7,5,3,1,5,9,banker win,75,1,0,0,72
6,0,2,3,5,3,9,4,banker win,76,2,0,0,72
4,8,8,0,,2,2,4,player win,77,0,1,0,72
4,3,4,1,8,4,0,4,banker win,78,1,0,0,72
6,8,8,0,,0,6,,player win,1,0,1,0,73
7,1,1,0,0,7,0,,banker win,2,1,0,0,73
7,7,7,0,,0,7,,tie,3,1,0,1,73
8,9,6,3,,8,0,,player win,4,0,1,0,73
8,7,0,5,2,1,3,4,banker win,5,1,0,0,73
4,8,9,9,,4,0,4,player win,6,0,1,0,73
6,8,6,5,7,0,6,4,player win,7,0,2,0,73
5,9,2,0,7,0,5,4,player win,8,0,3,0,73
4,3,3,0,0,0,4,4,banker win,9,1,0,0,73
5,0,0,0,0,5,0,4,banker win,10,2,0,0,73
3,7,2,0,5,3,8,0,player win,11,0,1,0,73
6,7,4,3,,7,9,0,player win,12,0,2,0,73
0,8,0,8,,0,0,0,player win,13,0,3,0,73
4,8,0,8,,1,3,0,player win,14,0,4,0,73
7,6,0,6,,8,9,,banker win,15,1,0,0,73
6,4,4,0,0,6,0,,banker win,16,2,0,0,73
8,7,0,7,,7,5,6,banker win,17,3,0,0,73
5,8,6,2,,0,5,6,player win,18,0,1,0,73
4,4,2,0,2,9,5,0,tie,19,0,1,1,73
5,1,6,5,0,0,0,5,banker win,20,1,0,0,73
5,6,9,7,,7,8,5,player win,21,0,1,0,73
8,3,1,2,,0,8,,banker win,22,1,0,0,73
0,8,0,8,,0,0,,player win,23,0,1,0,73
8,2,0,5,7,0,6,2,banker win,24,1,0,0,73
0,6,0,6,,0,0,0,player win,25,0,1,0,73
7,9,0,9,,1,6,,player win,26,0,2,0,73
7,8,5,3,,8,9,,player win,27,0,3,0,73
7,1,0,1,0,5,2,,banker win,28,1,0,0,73
2,8,0,8,,2,0,,player win,29,0,1,0,73
6,0,6,4,0,5,1,,banker win,30,1,0,0,73
4,3,3,0,0,7,7,,banker win,31,2,0,0,73
1,5,0,4,1,4,7,0,player win,32,0,1,0,73
6,6,4,2,,0,1,5,tie,33,0,1,1,73
7,4,0,4,0,0,7,,banker win,34,1,0,0,73
1,7,2,1,4,1,1,6,player win,35,0,1,0,73
6,6,3,3,,8,8,6,tie,36,0,1,1,73
2,1,0,5,6,2,0,0,banker win,37,1,0,0,73
4,8,5,3,,0,4,0,player win,38,0,1,0,73
2,5,0,0,5,1,4,7,player win,39,0,2,0,73
0,0,8,2,0,0,0,0,tie,40,0,2,1,73
1,5,0,5,0,6,7,8,player win,41,0,3,0,73
6,0,0,0,0,5,1,8,banker win,42,1,0,0,73
2,6,9,3,4,1,9,9,player win,43,0,1,0,73
7,7,1,9,7,0,7,,tie,44,0,1,1,73
4,1,1,0,0,6,8,,banker win,45,1,0,0,73
2,9,5,4,,8,4,,player win,46,0,1,0,73
3,7,0,7,,3,0,0,player win,47,0,2,0,73
4,8,5,3,,4,0,0,player win,48,0,3,0,73
0,5,6,6,3,9,4,7,player win,49,0,4,0,73
5,7,7,0,,6,9,7,player win,50,0,5,0,73
0,7,7,3,7,8,4,7,player win,51,0,6,0,73
9,2,2,0,7,9,0,,banker win,52,1,0,0,73
0,2,2,0,0,0,0,0,player win,53,0,1,0,73
9,7,2,5,,0,9,,banker win,54,1,0,0,73
3,4,2,9,3,3,0,0,player win,55,0,1,0,73
4,8,0,8,,1,3,0,player win,56,0,2,0,73
0,2,7,3,2,4,6,0,player win,57,0,3,0,73
2,4,2,0,2,3,8,1,player win,58,0,4,0,73
9,4,4,0,2,9,0,,banker win,59,1,0,0,73
9,9,0,9,,9,0,,tie,60,1,0,1,73
0,0,1,0,9,0,3,7,tie,61,1,0,2,73
9,5,4,8,3,0,2,6,banker win,62,2,0,0,73
5,6,6,8,2,8,4,3,player win,63,0,1,0,73
1,8,0,8,,9,2,3,player win,64,0,2,0,73
7,6,0,0,6,1,6,,banker win,65,1,0,0,73
6,6,7,9,,5,1,,tie,66,1,0,1,73
9,0,6,4,,8,1,,banker win,67,2,0,0,73
6,5,2,8,5,2,4,,banker win,68,3,0,0,73
0,9,3,6,,0,0,,player win,69,0,1,0,73
0,9,0,9,,5,5,,player win,70,0,2,0,73
6,4,6,9,9,0,0,6,banker win,71,1,0,0,73
0,6,0,6,,9,2,9,player win,72,0,1,0,73
1,1,0,5,6,1,3,7,tie,73,0,1,1,73
4,3,2,3,8,2,2,7,banker win,74,1,0,0,73
9,5,4,7,4,1,4,4,banker win,75,2,0,0,73
2,7,0,7,,4,8,0,player win,76,0,1,0,73
5,3,0,5,8,1,4,0,banker win,77,1,0,0,73
8,9,1,8,,0,8,,player win,78,0,1,0,73
0,9,4,5,,0,0,,player win,79,0,2,0,73
8,2,9,1,2,3,0,5,banker win,80,1,0,0,73
8,5,0,5,2,9,9,,banker win,81,2,0,0,73
5,9,7,2,,7,8,,player win,1,0,1,0,74
6,6,0,6,,6,0,,tie,2,0,1,1,74
7,1,8,4,9,1,6,,banker win,3,1,0,0,74
5,5,2,3,0,8,7,,tie,4,1,0,1,74
4,8,1,7,,0,4,,player win,5,0,1,0,74
6,2,3,8,1,0,3,3,banker win,6,1,0,0,74
6,3,0,0,3,0,6,3,banker win,7,2,0,0,74
9,3,7,6,3,9,0,,banker win,8,3,0,0,74
0,7,0,7,,3,0,7,player win,9,0,1,0,74
4,2,6,4,2,8,6,0,banker win,10,1,0,0,74
8,6,6,0,,9,1,8,banker win,11,2,0,0,74
0,6,5,1,,0,0,0,player win,12,0,1,0,74
8,5,0,0,5,0,4,4,banker win,13,1,0,0,74
2,3,8,6,9,1,0,1,player win,14,0,1,0,74
0,8,9,9,,0,0,1,player win,15,0,2,0,74
5,4,1,3,0,0,5,1,banker win,16,1,0,0,74
6,8,5,3,,1,5,1,player win,17,0,1,0,74
8,5,7,8,,9,9,,banker win,18,1,0,0,74
1,8,0,8,,9,2,,player win,19,0,1,0,74
1,8,0,8,,6,5,,player win,20,0,2,0,74
6,7,0,7,,0,6,,player win,21,0,3,0,74
9,6,7,9,,9,0,,banker win,22,1,0,0,74
8,6,0,5,1,2,0,6,banker win,23,2,0,0,74
5,6,9,7,,7,3,5,player win,24,0,1,0,74
6,8,5,0,3,0,6,5,player win,25,0,2,0,74
7,9,0,9,,7,0,,player win,26,0,3,0,74
5,9,0,9,,0,5,,player win,27,0,4,0,74
8,7,0,4,3,0,3,5,banker win,28,1,0,0,74
8,5,4,0,1,0,0,8,banker win,29,2,0,0,74
3,4,0,4,0,2,8,0,player win,30,0,1,0,74
8,4,4,0,0,0,8,,banker win,31,1,0,0,74
4,7,4,3,,9,5,,player win,32,0,1,0,74
4,3,0,2,1,1,9,4,banker win,33,1,0,0,74
4,6,5,1,,5,9,4,player win,34,0,1,0,74
4,2,0,1,1,4,0,4,banker win,35,1,0,0,74
3,8,9,9,,5,8,4,player win,36,0,1,0,74
8,5,2,3,,2,6,,banker win,37,1,0,0,74
7,6,4,2,,0,0,7,banker win,38,2,0,0,74
4,6,0,6,,1,3,7,player win,39,0,1,0,74
7,9,3,6,,1,6,,player win,40,0,2,0,74
8,0,0,0,,8,0,,banker win,41,1,0,0,74
4,7,0,7,,0,0,4,player win,42,0,1,0,74
8,6,6,0,,0,8,,banker win,43,1,0,0,74
8,6,6,0,,8,0,,banker win,44,2,0,0,74
0,8,8,2,8,7,3,,player win,45,0,1,0,74
6,6,7,9,,0,6,,tie,46,0,1,1,74
6,6,2,4,,0,0,6,tie,47,0,1,2,74
5,8,8,0,,4,1,6,player win,48,0,2,0,74
0,8,6,9,3,0,0,6,player win,49,0,3,0,74
2,6,1,5,,0,0,2,player win,50,0,4,0,74
7,2,3,2,7,0,0,7,banker win,51,1,0,0,74
6,6,6,0,,6,0,7,tie,52,1,0,1,74
2,0,2,9,9,0,2,0,banker win,53,2,0,0,74
2,7,9,3,5,0,2,0,player win,54,0,1,0,74
6,7,3,4,,6,0,0,player win,55,0,2,0,74
6,0,3,1,6,4,2,0,banker win,56,1,0,0,74
7,6,9,7,,0,7,,banker win,57,2,0,0,74
7,6,8,8,,4,3,,banker win,58,3,0,0,74
3,1,5,0,6,0,3,0,banker win,59,4,0,0,74
9,4,2,8,4,0,3,5,banker win,60,5,0,0,74
6,0,0,0,0,1,2,3,banker win,61,6,0,0,74
5,4,0,1,3,0,5,3,banker win,62,7,0,0,74
5,7,0,7,,0,0,5,player win,63,0,1,0,74
7,8,1,7,,2,5,,player win,64,0,2,0,74
9,1,0,1,,0,9,,banker win,65,1,0,0,74
6,6,2,0,4,4,2,,tie,66,1,0,1,74
2,0,0,5,5,9,6,7,banker win,67,2,0,0,74
